feature_set,model,fold,n_train,n_test,n_train_references,n_test_references,inner_best_r2,r2,rmse,mae
combined,DummyMean,9,129,12,38,4,,-0.002507165577931625,144.97403982169436,134.19444444444443
combined,DummyMean,10,129,12,38,4,,-0.0665755718454013,112.50619917619532,103.24031007751937
combined,Ridge,1,126,15,37,5,0.4035044263833399,-109.93138890934628,1093.2044180143405,386.4074166042945
combined,Ridge,2,127,14,36,6,0.14917087644706775,0.22808468431704,137.14754659756824,95.18855726562484
combined,Ridge,3,122,19,40,2,0.18913985075496503,-0.12012939655298371,188.17082612371374,155.02055227520307
combined,Ridge,4,127,14,38,4,0.12477249630854034,0.21771329875211798,85.26788489627216,70.51378958696908
combined,Ridge,5,127,14,38,4,0.12598376620521554,0.708842872560113,60.041508728001126,47.1396719882626
combined,Ridge,6,127,14,37,5,0.10997237677772749,0.40569076811586,99.55242451134644,86.47282421869753
combined,Ridge,7,127,14,38,4,0.10690443940648715,0.14894538866788332,219.06611367861902,165.96094879864492
combined,Ridge,8,128,13,38,4,0.10590940211112924,0.2165368835227225,121.40019552091434,108.38828613638127
combined,Ridge,9,129,12,38,4,0.15778791710212495,0.3951034629807506,112.61261603343303,95.03681356391805
combined,Ridge,10,129,12,38,4,0.19524901854863735,-0.2521185482721715,121.89990333778597,113.92391484895512
combined,RandomForest,1,126,15,37,5,0.5365665919898538,0.5792512564531265,67.32642693524953,50.46211126984129
combined,RandomForest,2,127,14,36,6,0.482562615466548,0.7582393070903274,76.75312378548703,57.82903595610737
combined,RandomForest,3,122,19,40,2,0.3825148404259838,0.6431150825674832,106.21412880612742,67.49278001253131
combined,RandomForest,4,127,14,38,4,0.5116949787968248,0.39439519321021355,75.02347449514097,60.740519860146165
combined,RandomForest,5,127,14,38,4,0.473191787284319,0.9019736462890324,34.83848877828591,27.046542743764185
combined,RandomForest,6,127,14,37,5,0.5125127681370343,0.9337463185661543,33.23920367401118,27.877752822574248
combined,RandomForest,7,127,14,38,4,0.7278803832891039,0.1584284067670949,217.84220435084663,133.2522110528757
combined,RandomForest,8,128,13,38,4,0.5473502301880657,0.6024967728618615,86.47298238867275,66.10615904236953
combined,RandomForest,9,129,12,38,4,0.47378016610467755,0.9312957111070095,37.952328178532376,27.70424801587294
combined,RandomForest,10,129,12,38,4,0.5489683296781473,0.46373163422909014,79.77590252371489,72.4947168154762
combined,GradientBoosting,1,126,15,37,5,0.5794162381048281,0.7379515035542086,53.1330796689735,41.36148948058611
combined,GradientBoosting,2,127,14,36,6,0.4183072358129228,0.8101020421759904,68.02418719778993,49.788244444232696
