TC,H,dS,dS_ref,RC,dX,VEC,δ,dHmix,dSmix,nunfilled_mean,mag_moment_mean,avg_d_valence_electrons,bandgap_mean,melting_point_mean,electronegativity_range
139,3,4.8,7.651675827681369,137,0.0553962995154008,3,0.9547198737507364,0,11.52634446553133,6.615397384602614,0,0.2575297424702575,0,1681.038302961697,0.04000000000000004
52,3,0.65,1.0361644349985188,27.3,0.056734028589551,3,0.5262462752447677,0,11.52634446553133,3.521056,0,0,0,1706.714396,0.03000000000000003
88,3,3,4.782297392300856,150,0.0637735832378892,3,0.5812389388448725,0,9.13441179098877,3.360467,0,0,0,1713.994107,0.03000000000000003
29,5,10.64,10.64,532,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0,1450.584396195604,0.73
29,1,2.62,11.385660924115053,81.76,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0,1450.584396195604,0.73
29,2,4.97,11.471419723590593,190.33,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0,1450.584396195604,0.73
29,3,6.91,11.015224993599638,289.36,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0,1450.584396195604,0.73
29,4,8.97,10.996565148622148,411.96,0.3218136106506373,5.100000000000001,13.86151638853738,-29.68,19.144843755699,4.645491354508646,0.2974593587536413,2.984405015594985,0,1450.584396195604,0.73
37,5,11.2,11.2,627,0.2697702726395182,4.2,13.74851532583833,-32.32,13.38167152293333,5.082190082190082,0.362754516893717,1.727660727660728,0,1323.411236361236,0.6799999999999999
18,5,12.6,12.6,468,0.2664282267328294,4.2,13.50139359386404,-32.32,13.38167152293333,4.028704971295029,0.3637866206429794,1.644529355470645,0,1331.099781170219,0.6599999999999999
9,5,15,15.0,375,0.2617938119971517,4.2,12.63360579930292,-32.48,13.38167152293333,3.782128217871783,0.3649711999264001,1.64988435011565,0,1340.883042756957,0.6499999999999999
39,5,6.02,6.02,413,0.2841104538731371,4.5,15.19164999928034,-35.25,11.52634446553133,6.130784000000001,0.3667755338456001,1.903821,0,1324.96123279,0.6799999999999999
44,5,6.76,6.76,424,0.2841104538731371,4.5,15.05497129749608,-35.35,12.92528334186844,5.869954,0.3775126331464,1.894912,0,1307.05153641,0.6799999999999999
41,5,7.35,7.35,488,0.2832185551830953,4.5,15.01901263991558,-35.25,12.92528334186844,5.836067,0.3777092889888,1.895899,0,1309.01566807,0.6799999999999999
43,5,6.96,6.96,477,0.2823557153662733,4.5,14.9760367160657,-35.45,12.92528334186844,5.803047196952803,0.3778931791684209,1.896822103177897,0,1309.594397205603,0.6799999999999999
51,5,8.63,8.63,555,0.281959199176051,4.5,14.76501942408995,-35.25,11.87543736961528,5.39264,0.3941617954888,1.88399,0,1285.02610842,0.6799999999999999
49,5,8.79,8.79,547,0.2823202968261403,4.5,14.83909758235876,-35.25,12.5664934531584,5.523234,0.389316629104,1.887498,0,1292.09107144,0.6799999999999999
47,5,7.61,7.61,490,0.2827702247408662,4.5,14.92998518517863,-35.25,12.92528334186844,5.682015999999999,0.383424696188,1.89176,0,1300.68116921,0.6799999999999999
41,5,7.35,7.35,488,0.2832185551830953,4.5,15.01901263991558,-35.25,12.92528334186844,5.836067,0.3777092889888,1.895899,0,1309.01566807,0.6799999999999999
44,2,4.1,9.463344238776946,0,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,13.38167152293333,5.164437000000001,0.3623004520776,1.725498,0,1318.67974562,0.6799999999999999
44,5,9.1,9.1,619,0.2712931993250107,4.200000000000001,13.8107620480647,-32.64000000000001,13.38167152293333,5.164437000000001,0.3623004520776,1.725498,0,1318.67974562,0.6799999999999999
