feature,mean_abs_shap,rank,repeat,outer_fold
sigma,0.16970243595575032,9,1,8
VEC,0.12021426620280895,10,1,8
bandgap_mean,0.02267352405036852,11,1,8
mag_moment_mean,1.3767003605851023,1,1,9
melting_point_mean,1.2209324504949834,2,1,9
avg_d_valence_electrons,0.9446937037583166,3,1,9
dHmix,0.6835884029574588,4,1,9
electronegativity_range,0.6421817303918141,5,1,9
nunfilled_mean,0.5194706839715536,6,1,9
dX,0.4390454574283407,7,1,9
dSmix,0.37701509866750715,8,1,9
VEC,0.3292436676348713,9,1,9
sigma,0.2733081492696457,10,1,9
bandgap_mean,0.09008504930559932,11,1,9
mag_moment_mean,1.7231372682333481,1,1,10
avg_d_valence_electrons,1.5120635868893353,2,1,10
melting_point_mean,1.0926261691598687,3,1,10
electronegativity_range,0.7133232900577603,4,1,10
dSmix,0.5344513208267042,5,1,10
dX,0.3227086505082195,6,1,10
nunfilled_mean,0.3060675489476828,7,1,10
VEC,0.2347038083989373,8,1,10
dHmix,0.2289946265041059,9,1,10
sigma,0.14891280006168248,10,1,10
bandgap_mean,0.0024999343255713044,11,1,10
mag_moment_mean,1.9849778476215083,1,2,1
melting_point_mean,0.9283708230418276,2,2,1
VEC,0.6301658471434592,3,2,1
dHmix,0.6247606154695174,4,2,1
avg_d_valence_electrons,0.5982966516936605,5,2,1
electronegativity_range,0.454957793697672,6,2,1
dSmix,0.45032654619936924,7,2,1
dX,0.315052552272643,8,2,1
sigma,0.24871787564196288,9,2,1
nunfilled_mean,0.23139185912649796,10,2,1
bandgap_mean,0.008726873589376908,11,2,1
mag_moment_mean,1.6375975274279166,1,2,2
avg_d_valence_electrons,1.2799740907566033,2,2,2
melting_point_mean,0.7518613012149784,3,2,2
dSmix,0.4067825314528525,4,2,2
dX,0.36141438900964573,5,2,2
nunfilled_mean,0.3246328376853463,6,2,2
dHmix,0.3198890032810443,7,2,2
VEC,0.3065276530908716,8,2,2
electronegativity_range,0.2932864248448296,9,2,2
sigma,0.2534295040814939,10,2,2
bandgap_mean,0.024448284044930952,11,2,2
mag_moment_mean,2.000982600787606,1,2,3
melting_point_mean,0.8235128627192017,2,2,3
electronegativity_range,0.6745547793377094,3,2,3
avg_d_valence_electrons,0.6450159984823912,4,2,3
dHmix,0.6053731335967871,5,2,3
dSmix,0.446013774497736,6,2,3
nunfilled_mean,0.2306276788535168,7,2,3
sigma,0.21347612047939327,8,2,3
VEC,0.2099274513670096,9,2,3
dX,0.18140626243175537,10,2,3
bandgap_mean,0.010488410944824781,11,2,3
mag_moment_mean,2.192528256852777,1,2,4
melting_point_mean,1.4424044122174824,2,2,4
avg_d_valence_electrons,0.8898771652760558,3,2,4
sigma,0.5265814540626355,4,2,4
dX,0.34209038196133085,5,2,4
VEC,0.2709941991244372,6,2,4
nunfilled_mean,0.27068978904452273,7,2,4
dHmix,0.2613942903073082,8,2,4
dSmix,0.16578657953051032,9,2,4
electronegativity_range,0.03347088713692147,10,2,4
bandgap_mean,0.01138510138864815,11,2,4
avg_d_valence_electrons,1.725842377121708,1,2,5
